topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,source_row_id,dominant_topic,dominant_topic_prob
0.0022222294504739477,0.002222225523219622,0.18234309699841555,0.0022222263959083013,0.0022222298440620495,0.002222224975229141,0.2579865942525139,0.0022222284522221223,0.19349995252627,0.0022222266268021114,0.0022222288822404362,0.0022222268106101457,0.0022222234361685255,0.3417258629553811,0.0022222228704830284,72,13,0.3417258629553811
0.002898551405010967,0.002898556233139023,0.0028985528034687277,0.28287914400588327,0.0028985580396958172,0.09446501267332436,0.0028985523220942753,0.0028985517122508235,0.3190862290630486,0.27168549502151434,0.002898567534585726,0.0028985521405362996,0.0028985571860022474,0.0028985527460052177,0.0028985671134401413,73,8,0.3190862290630486
0.0060606099821410575,0.09213948717941843,0.006060612223245184,0.00606062477413849,0.0060606074848140535,0.2339823387337246,0.006060607771022721,0.0060606079594924525,0.006060625282874612,0.6011508147672341,0.006060617191869509,0.006060613859765883,0.0060606106722684,0.006060609736096194,0.006060612381894433,74,9,0.6011508147672341
0.003333334226834538,0.1615589419856769,0.0033333386627545504,0.21766985244323422,0.0033333383843034544,0.2732474769536281,0.003333336630659803,0.0033333341222700186,0.25979274544759556,0.003333337375095328,0.05439762402427647,0.003333336339795164,0.0033333343960334186,0.0033333346756530447,0.0033333343321895934,75,5,0.2732474769536281
0.00512821220634421,0.0051282177226909245,0.005128207469420116,0.0051282211881936695,0.4267717550131593,0.20467300928620097,0.005128213487323789,0.005128209736701847,0.3070166923186976,0.00512820867996219,0.005128205804456372,0.005128219170381422,0.00512820904579021,0.005128211306899326,0.005128207563777955,76,4,0.4267717550131593
0.002469140395398703,0.002469140010150726,0.0024691409905790054,0.07486557562836613,0.002469143055331589,0.0024691413301343927,0.4661441707576566,0.07540870417389521,0.26896741053856904,0.002469136408630216,0.08992273368439077,0.002469138494230291,0.002469138559614529,0.0024691473298322263,0.0024691386432206,77,6,0.4661441707576566
0.0024691369966369286,0.5031589190899401,0.0024691397659276524,0.0024691367196327052,0.002469140766580867,0.07330120915370626,0.0024691420497218466,0.0024691391740898736,0.002469139163806181,0.26702942216723435,0.002469137241348864,0.0024691408396073753,0.129349915658959,0.0024691397166100287,0.002469141496197832,78,1,0.5031589190899401
0.002777779178529043,0.0027777787604701433,0.0027777789315559464,0.0027777820774440294,0.6086595603521403,0.0027777811625849485,0.0027777878049667967,0.0027777808392292365,0.315828796954534,0.0027777792337560464,0.04217827522700336,0.0027777796678168064,0.0027777789882205968,0.002777782447755469,0.0027777783739932455,79,4,0.6086595603521403
0.016666666666669067,0.016666674188399958,0.01666666978314105,0.48801030861364614,0.016666702815880192,0.01666666832388223,0.01666681253125757,0.016666699857525627,0.016666692351351837,0.016666680530980107,0.01666666666666905,0.29532266541125934,0.0166667048413369,0.016666717623469118,0.016666669794531564,80,3,0.48801030861364614
0.00666667433462342,0.006666679711872499,0.006666672609372453,0.00666666899377725,0.006666667995778328,0.006666670191384124,0.006666668139493291,0.006666678463153287,0.00666667576282074,0.5378434891249199,0.006666680897754634,0.1336169275149298,0.24853950707282765,0.006666669892189283,0.006666669295103294,81,9,0.5378434891249199
